City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
itoman,75,Japan,1562384725,88,26.12,26.12,80.6,9.17
hasaki,75,Japan,1562384440,88,35.73,35.73,71.6,12.75
naze,73,Japan,1562384725,97,5.43,5.43,71.69,3.83
wajima,40,Japan,1562384725,69,37.4,37.4,77,8.05
wakkanai,40,Japan,1562384725,72,45.41,45.41,64.4,17.22
kushiro,75,Japan,1562384725,87,43.11,43.11,60.8,13.87
shingu,75,Japan,1562384726,73,33.72,33.72,77,10.29
miyako,40,Japan,1562384726,54,33.63,33.63,84.2,5.82
katsuura,75,Japan,1562384440,69,33.93,33.93,78.8,9.17
poum,0,New Caledonia,1562384726,82,41.28,41.28,57.2,3.36
vao,70,New Caledonia,1562384455,95,59.1,59.1,48.65,4.52
noumea,75,New Caledonia,1562384456,83,-22.28,-22.28,69.8,21.92
pouebo,60,New Caledonia,1562384726,65,-20.4,-20.4,74.93,8.5
leningradskiy,70,Russia Federation,1562384499,52,69.38,69.38,59.81,9.51
nizhneyansk,,Russia Federation,,,,,,
provideniya,0,Russia Federation,1562384420,68,64.42,64.42,59.09,6.4
cherskiy,99,Russia Federation,1562384421,74,68.75,68.75,62.51,8.37
novyy urengoy,17,Russia Federation,1562384727,50,66.08,66.08,60.71,18.97
cheuskiny,,Russia Federation,,,,,,
krasnooktyabrskiy,0,Russia Federation,1562384727,77,44.93,44.93,62.6,2.24
amga,89,Russia Federation,1562384727,87,60.89,60.89,61.43,5.26
nikolskoye,90,Russia Federation,1562384418,93,59.7,59.7,55,6.71
barabinsk,67,Russia Federation,1562384727,75,55.35,55.35,68.27,7.74
tiksi,75,Russia Federation,1562384417,72,71.64,71.64,44.87,7.43
chagda,,Russia Federation,,,,,,
ostrovnoy,100,Russia Federation,1562384333,94,68.05,68.05,47.75,8.28
dikson,0,Russia Federation,1562384419,84,73.51,73.51,36.41,17.67
karaul,,Russia Federation,,,,,,
kadoshkino,96,Russia Federation,1562384728,85,54.03,54.03,55.49,9.48
khatanga,85,Russia Federation,1562384420,53,71.98,71.98,51.71,13.67
komsomolskiy,24,Russia Federation,1562384423,48,67.55,67.55,62.87,18.86
lovozero,100,Russia Federation,1562384728,95,68.01,68.01,50.09,8.63
amderma,,Russia Federation,,,,,,
mys shmidta,,Russia Federation,,,,,,
kurilsk,71,Russia Federation,1562384728,92,45.23,45.23,47.57,14.29
staraya poltavka,0,Russia Federation,1562384729,57,50.48,50.48,64.49,3.67
ozernovskiy,98,Russia Federation,1562384729,97,51.5,51.5,42.89,3.83
chokurdakh,71,Russia Federation,1562384421,47,70.62,70.62,57.29,12.71
severo-kurilsk,84,Russia Federation,1562384332,94,50.68,50.68,42.89,18.92
belushya guba,,Russia Federation,,,,,,
bagdarin,0,Russia Federation,1562384729,32,54.44,54.44,75.65,5.77
nyurba,11,Russia Federation,1562384507,50,63.29,63.29,63.23,6.29
koslan,88,Russia Federation,1562384729,93,63.46,63.46,56.93,2.04
khandyga,87,Russia Federation,1562384730,70,62.65,62.65,60.17,12.68
krasnoselkup,,Russia Federation,,,,,,
saskylakh,100,Russia Federation,1562384327,84,71.97,71.97,41.27,10.98
anadyr,20,Russia Federation,1562384509,81,64.73,64.73,51.8,31.32
artyk,,Russia Federation,,,,,,
yerbogachen,100,Russia Federation,1562384418,85,61.28,61.28,67.55,8.05
eldikan,,Russia Federation,,,,,,
gorno-chuyskiy,,Russia Federation,,,,,,
kysyl-syr,34,Russia Federation,1562384422,79,63.9,63.9,59.81,5.44
aleksandrov gay,0,Russia Federation,1562384730,53,50.14,50.14,65.03,4.34
kamenskoye,,Russia Federation,,,,,,
bilibino,35,Russia Federation,1562384731,29,68.06,68.06,72.95,13.06
khonuu,,Russia Federation,,,,,,
podyuga,73,Russia Federation,1562384731,88,61.09,61.09,50.99,4.92
vanavara,100,Russia Federation,1562384731,65,60.35,60.35,71.15,11.48
muzhi,100,Russia Federation,1562384731,67,65.4,65.4,58.19,17.27
batagay-alyta,100,Russia Federation,1562384731,81,67.8,67.8,44.51,2.59
tilichiki,96,Russia Federation,1562384509,67,60.47,60.47,57.11,9.17
dauriya,66,Russia Federation,1562384732,51,49.93,49.93,59.99,14.5
onega,17,Russia Federation,1562384732,91,63.91,63.91,51.89,3.91
severo-yeniseyskiy,66,Russia Federation,1562384732,60,60.37,60.37,68.45,13.47
kargasok,84,Russia Federation,1562384732,57,59.06,59.06,70.61,10.65
arkhara,100,Russia Federation,1562384732,81,49.42,49.42,74.57,10.54
deputatskiy,100,Russia Federation,1562384732,64,69.3,69.3,55.49,14.97
